trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.35, 'e': 0.1999999999999993}",20,14,3.886290385503681,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.35, 'e': 0.19499999999999929}",25,11,12.160803049836456,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.35, 'e': 0.18999999999999928}",25,8,-35.06747708941321,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.35, 'e': 0.18499999999999928}",25,11,11.670459636490014,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.35, 'e': 0.17999999999999927}",30,22,6.732272654165449,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.35, 'e': 0.17499999999999927}",25,16,-38.22403996101876,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.35, 'e': 0.16999999999999926}",25,15,18.37863256053341,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.35, 'e': 0.16499999999999926}",30,8,32.751731266241954,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.35, 'e': 0.15999999999999925}",20,11,5.603257169643352,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.35, 'e': 0.15499999999999925}",20,0,-1.0171633933726945,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
170,False,"{'a': 0.35, 'e': 0.14999999999999925}",20,9,18.29988311660821,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.35, 'e': 0.14499999999999924}",35,26,12.250007564118508,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.35, 'e': 0.13999999999999924}",25,6,0.47944518084092547,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.35, 'e': 0.13499999999999923}",25,13,-33.13530740142522,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
174,False,"{'a': 0.35, 'e': 0.12999999999999923}",20,7,23.46574494738117,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.35, 'e': 0.12499999999999922}",25,19,9.803553959169369,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.35, 'e': 0.11999999999999922}",20,14,-2.534966115270466,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.35, 'e': 0.11499999999999921}",30,21,14.689709743775477,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.35, 'e': 0.10999999999999921}",25,3,-44.394065720494595,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
179,False,"{'a': 0.35, 'e': 0.1049999999999992}",20,16,8.844794098823895,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.35, 'e': 0.0999999999999992}",25,19,10.592955388003563,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.35, 'e': 0.0949999999999992}",20,10,21.69245797887199,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.35, 'e': 0.08999999999999919}",25,13,20.58117331434537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.35, 'e': 0.08499999999999919}",20,8,25.44219401627223,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.35, 'e': 0.07999999999999918}",20,12,13.736802080941626,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.35, 'e': 0.07499999999999918}",25,17,16.30128630588056,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.35, 'e': 0.06999999999999917}",20,10,20.786571994448348,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.35, 'e': 0.06499999999999917}",25,5,34.87326227609749,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.35, 'e': 0.05999999999999917}",25,8,36.181280110895976,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.35, 'e': 0.054999999999999175}",20,8,18.193222484638607,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.35, 'e': 0.04999999999999918}",20,13,-5.481933654282463,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,2,26.492679033005665,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,16,8.25963099496412,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,15,9.711427316127907,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,19.892659169047143,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,15,8.093940912409764,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,15,16.50828318462478,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,13,12.85095009564464,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
