,source,dbType,source_type,jobType,run_time,total_objects_count,avg_object_run_time,avg_run_time,max_run_time,min_run_time,std_run_time,avg_table_run_time,max_table_run_time,min_table_run_time
168,FX Rates,oracle,db,hive,328,2,200.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
169,FX Rates,oracle,db,raw,1405,165,45.3818,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
170,EBS Europe,oracle,db,hive,1447,156,43.5705,1503.78846154,5538.0,22.0,974.708523227,58.8585119301,339.6,7.67441860465
171,EBS Europe,oracle,db,raw,3696,156,93.3782,3224.83606557,8539.0,424.0,1901.65711326,125.496744734,2133.0,31.6
172,FX Rates,oracle,db,hive,87,2,59.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
173,FX Rates,oracle,db,raw,1432,165,45.6364,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
174,FX Rates,oracle,db,hive,82,2,57.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
175,FX Rates,oracle,db,raw,1445,165,45.5394,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
176,FX Rates,oracle,db,hive,98,2,64.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
177,FX Rates,oracle,db,raw,1457,165,45.3273,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
178,SMIS,sqlserver,db,hive,108,4,49.5000,126.2,407.0,1.0,64.2627641573,68.8304802956,133.035714286,42.2413793103
179,SMIS,sqlserver,db,raw,1405,376,28.2367,2910.17142857,41037.0,1237.0,6784.18425662,27.9881439077,568.931034483,22.2413793103
180,FX Rates,oracle,db,hive,42,2,37.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
181,FX Rates,oracle,db,raw,1548,165,48.0121,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
182,FX Rates,oracle,db,hive,78,2,54.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
183,FX Rates,oracle,db,raw,1460,165,45.6182,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
184,FX Rates,oracle,db,hive,105,2,78.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
185,FX Rates,oracle,db,raw,1695,165,52.8485,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
186,FX Rates,oracle,db,hive,83,2,56.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
187,FX Rates,oracle,db,raw,1502,165,46.9818,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
188,FX Rates,oracle,db,hive,85,2,57.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
189,FX Rates,oracle,db,raw,1484,165,46.3636,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
190,FX Rates,oracle,db,hive,73,2,51.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
191,FX Rates,oracle,db,raw,1580,165,48.2303,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
192,FX Rates,oracle,db,raw,1521,165,46.6727,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
193,FX Rates,oracle,db,hive,71,2,52.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
194,FX Rates,oracle,db,raw,1619,165,48.7636,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
195,FX Rates,oracle,db,hive,118,2,79.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
196,FX Rates,oracle,db,raw,1499,165,46.8182,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
